dimension,toy_a,toy_b,winner,timestamp
practical_sustainability,alphabet-blocks,art-easel,alphabet-blocks,2025-12-26T14:16:23.810Z
practical_sustainability,activity-desk,baby-einstein-octopus,baby-einstein-octopus,2025-12-26T14:16:29.953Z
sensory_engagement,alphabet-blocks,art-easel,art-easel,2025-12-26T14:16:35.079Z
expressive_range,alphabet-blocks,baby-einstein-octopus,alphabet-blocks,2025-12-26T14:16:37.935Z
generativity,aquadoodle-mat,art-easel,art-easel,2025-12-26T14:16:42.303Z
developmental_longevity,aquadoodle-mat,art-easel,art-easel,2025-12-26T14:16:44.116Z
expressive_range,activity-desk,baby-einstein-octopus,activity-desk,2025-12-26T14:16:51.615Z
social_affordance,anatomy-model,baby-einstein-octopus,anatomy-model,2025-12-26T14:17:01.727Z
generativity,alphabet-blocks,baby-einstein-octopus,alphabet-blocks,2025-12-26T14:17:02.812Z
developmental_longevity,activity-desk,baby-einstein-octopus,activity-desk,2025-12-26T14:17:09.971Z
social_affordance,art-easel,baby-walker,art-easel,2025-12-26T14:17:54.988Z
developmental_longevity,baby-play-gym,baby-rattle,baby-rattle,2025-12-26T14:18:01.328Z
developmental_longevity,anatomy-model,baby-walker,anatomy-model,2025-12-26T14:18:01.385Z
expressive_range,anatomy-model,baby-rattle,anatomy-model,2025-12-26T14:18:15.605Z
productive_challenge,activity-desk,baby-rattle,activity-desk,2025-12-26T14:18:17.930Z
social_affordance,activity-desk,baby-play-gym,activity-desk,2025-12-26T14:18:25.579Z
sensory_engagement,alphabet-blocks,baby-rattle,alphabet-blocks,2025-12-26T14:18:26.495Z
social_affordance,activity-desk,anki-overdrive,anki-overdrive,2025-12-26T14:18:35.421Z
sensory_engagement,art-easel,baby-rattle,art-easel,2025-12-26T14:18:38.588Z
sensory_engagement,alphabet-blocks,baby-play-gym,alphabet-blocks,2025-12-26T14:18:49.470Z
practical_sustainability,activity-desk,anki-overdrive,activity-desk,2025-12-26T14:18:51.774Z
generativity,aquadoodle-mat,baby-walker,aquadoodle-mat,2025-12-26T14:18:59.605Z
practical_sustainability,art-easel,baby-rattle,baby-rattle,2025-12-26T14:19:04.783Z
generativity,anki-overdrive,aquadoodle-mat,aquadoodle-mat,2025-12-26T14:19:06.719Z
social_affordance,anki-overdrive,baby-play-gym,anki-overdrive,2025-12-26T14:19:25.606Z
practical_sustainability,baby-einstein-octopus,baby-play-gym,tie,2025-12-26T14:19:26.620Z
sensory_engagement,alphabet-blocks,baby-walker,baby-walker,2025-12-26T14:19:34.058Z
productive_challenge,anki-overdrive,art-easel,art-easel,2025-12-26T14:19:46.828Z
developmental_longevity,art-easel,baby-walker,art-easel,2025-12-26T14:20:03.396Z
productive_challenge,baby-einstein-octopus,baby-play-gym,baby-play-gym,2025-12-26T14:20:12.052Z
expressive_range,anki-overdrive,baby-einstein-octopus,anki-overdrive,2025-12-26T14:20:13.604Z
expressive_range,aquadoodle-mat,baby-rattle,aquadoodle-mat,2025-12-26T14:20:24.366Z
expressive_range,anki-overdrive,aquadoodle-mat,aquadoodle-mat,2025-12-26T14:20:37.491Z
generativity,activity-desk,baby-play-gym,activity-desk,2025-12-26T14:20:50.091Z
practical_sustainability,anki-overdrive,baby-rattle,baby-rattle,2025-12-26T14:21:00.547Z
productive_challenge,aquadoodle-mat,baby-walker,aquadoodle-mat,2025-12-26T14:21:14.755Z
productive_challenge,anatomy-model,baby-rattle,anatomy-model,2025-12-26T14:21:23.345Z
sensory_engagement,art-easel,baby-walker,art-easel,2025-12-26T14:21:24.560Z
expressive_range,alphabet-blocks,baby-play-gym,alphabet-blocks,2025-12-26T14:21:32.462Z
social_affordance,anki-overdrive,art-easel,anki-overdrive,2025-12-26T14:21:49.004Z
generativity,anki-overdrive,baby-play-gym,anki-overdrive,2025-12-26T14:21:52.415Z
developmental_longevity,anki-overdrive,baby-walker,tie,2025-12-26T14:21:54.797Z
social_affordance,alphabet-blocks,baby-play-gym,alphabet-blocks,2025-12-26T14:21:57.190Z
developmental_longevity,baby-play-gym,baby-walker,baby-walker,2025-12-26T14:22:00.691Z
practical_sustainability,alphabet-blocks,baby-rattle,baby-rattle,2025-12-26T14:22:17.341Z
sensory_engagement,baby-einstein-octopus,baby-rattle,baby-einstein-octopus,2025-12-26T14:22:19.379Z
social_affordance,anki-overdrive,baby-einstein-octopus,anki-overdrive,2025-12-26T14:22:21.014Z
productive_challenge,baby-play-gym,baby-rattle,baby-play-gym,2025-12-26T14:22:29.907Z
sensory_engagement,anatomy-model,anki-overdrive,anki-overdrive,2025-12-26T14:22:37.966Z
social_affordance,anki-overdrive,aquadoodle-mat,anki-overdrive,2025-12-26T14:22:48.594Z
expressive_range,activity-desk,baby-walker,activity-desk,2025-12-26T14:22:50.431Z
practical_sustainability,anatomy-model,baby-walker,baby-walker,2025-12-26T14:22:59.890Z
productive_challenge,aquadoodle-mat,baby-play-gym,aquadoodle-mat,2025-12-26T14:23:02.520Z
social_affordance,anki-overdrive,baby-walker,anki-overdrive,2025-12-26T14:23:03.294Z
social_affordance,alphabet-blocks,baby-walker,alphabet-blocks,2025-12-26T14:23:09.682Z
sensory_engagement,anki-overdrive,art-easel,art-easel,2025-12-26T14:23:11.794Z
developmental_longevity,baby-einstein-octopus,baby-play-gym,baby-einstein-octopus,2025-12-26T14:23:16.816Z
productive_challenge,art-easel,baby-play-gym,art-easel,2025-12-26T14:23:20.525Z
productive_challenge,anatomy-model,baby-play-gym,anatomy-model,2025-12-26T14:23:21.886Z
practical_sustainability,activity-desk,baby-rattle,baby-rattle,2025-12-26T14:23:27.832Z
social_affordance,anatomy-model,baby-walker,anatomy-model,2025-12-26T14:23:30.396Z
generativity,baby-einstein-octopus,baby-play-gym,baby-play-gym,2025-12-26T14:23:34.752Z
practical_sustainability,alphabet-blocks,baby-walker,alphabet-blocks,2025-12-26T14:23:41.012Z
generativity,anatomy-model,anki-overdrive,anki-overdrive,2025-12-26T14:23:43.171Z
generativity,art-easel,baby-walker,art-easel,2025-12-26T14:23:52.189Z
expressive_range,alphabet-blocks,baby-walker,alphabet-blocks,2025-12-26T14:23:55.847Z
productive_challenge,anki-overdrive,baby-walker,anki-overdrive,2025-12-26T14:24:01.546Z
productive_challenge,alphabet-blocks,baby-walker,alphabet-blocks,2025-12-26T14:24:04.366Z
practical_sustainability,anatomy-model,baby-play-gym,baby-play-gym,2025-12-26T14:24:07.414Z
generativity,activity-desk,anki-overdrive,activity-desk,2025-12-26T14:24:13.728Z
developmental_longevity,activity-desk,baby-play-gym,activity-desk,2025-12-26T14:24:23.029Z
developmental_longevity,anki-overdrive,baby-play-gym,anki-overdrive,2025-12-26T14:24:24.176Z
expressive_range,art-easel,baby-play-gym,art-easel,2025-12-26T14:24:25.490Z
social_affordance,activity-desk,baby-rattle,activity-desk,2025-12-26T14:24:36.672Z
expressive_range,baby-play-gym,baby-rattle,baby-play-gym,2025-12-26T14:24:38.649Z
sensory_engagement,anki-overdrive,baby-walker,baby-walker,2025-12-26T14:24:40.357Z
expressive_range,baby-play-gym,baby-walker,baby-walker,2025-12-26T14:25:03.040Z
expressive_range,anki-overdrive,baby-walker,anki-overdrive,2025-12-26T14:25:03.406Z
productive_challenge,anki-overdrive,aquadoodle-mat,anki-overdrive,2025-12-26T14:25:20.260Z
developmental_longevity,aquadoodle-mat,baby-play-gym,aquadoodle-mat,2025-12-26T14:25:20.320Z
practical_sustainability,aquadoodle-mat,baby-play-gym,aquadoodle-mat,2025-12-26T14:25:22.578Z
developmental_longevity,aquadoodle-mat,baby-rattle,aquadoodle-mat,2025-12-26T14:25:29.233Z
sensory_engagement,aquadoodle-mat,baby-play-gym,baby-play-gym,2025-12-26T14:25:31.507Z
social_affordance,activity-desk,baby-walker,activity-desk,2025-12-26T14:25:39.256Z
practical_sustainability,baby-rattle,baby-walker,baby-rattle,2025-12-26T14:25:41.603Z
sensory_engagement,anki-overdrive,aquadoodle-mat,anki-overdrive,2025-12-26T14:25:44.421Z
sensory_engagement,aquadoodle-mat,baby-walker,baby-walker,2025-12-26T14:25:51.156Z
developmental_longevity,alphabet-blocks,baby-walker,alphabet-blocks,2025-12-26T14:25:54.079Z
practical_sustainability,anki-overdrive,baby-einstein-octopus,baby-einstein-octopus,2025-12-26T14:25:55.897Z
practical_sustainability,aquadoodle-mat,baby-rattle,baby-rattle,2025-12-26T14:26:01.743Z
productive_challenge,anki-overdrive,baby-play-gym,anki-overdrive,2025-12-26T14:26:04.568Z
practical_sustainability,alphabet-blocks,baby-play-gym,alphabet-blocks,2025-12-26T14:26:12.616Z
expressive_range,anatomy-model,baby-play-gym,anatomy-model,2025-12-26T14:26:17.551Z
expressive_range,baby-einstein-octopus,baby-walker,baby-walker,2025-12-26T14:26:18.891Z
practical_sustainability,anki-overdrive,baby-walker,baby-walker,2025-12-26T14:26:25.690Z
developmental_longevity,alphabet-blocks,baby-play-gym,alphabet-blocks,2025-12-26T14:26:25.977Z
social_affordance,baby-einstein-octopus,baby-play-gym,baby-einstein-octopus,2025-12-26T14:26:30.561Z
productive_challenge,activity-desk,anki-overdrive,anki-overdrive,2025-12-26T14:26:37.845Z
generativity,alphabet-blocks,anki-overdrive,alphabet-blocks,2025-12-26T14:26:38.724Z
productive_challenge,anki-overdrive,baby-rattle,anki-overdrive,2025-12-26T14:26:43.536Z
generativity,art-easel,baby-rattle,art-easel,2025-12-26T14:26:51.793Z
social_affordance,art-easel,baby-play-gym,art-easel,2025-12-26T14:27:00.354Z
expressive_range,aquadoodle-mat,baby-walker,aquadoodle-mat,2025-12-26T14:27:03.663Z
practical_sustainability,art-easel,baby-walker,art-easel,2025-12-26T14:27:11.283Z
productive_challenge,baby-rattle,baby-walker,baby-walker,2025-12-26T14:27:13.558Z
generativity,aquadoodle-mat,baby-rattle,aquadoodle-mat,2025-12-26T14:27:19.817Z
developmental_longevity,alphabet-blocks,anki-overdrive,alphabet-blocks,2025-12-26T14:27:25.087Z
productive_challenge,baby-einstein-octopus,baby-rattle,baby-einstein-octopus,2025-12-26T14:27:30.244Z
social_affordance,anatomy-model,baby-play-gym,anatomy-model,2025-12-26T14:27:41.915Z
developmental_longevity,anki-overdrive,baby-rattle,anki-overdrive,2025-12-26T14:27:43.481Z
generativity,baby-rattle,baby-walker,baby-walker,2025-12-26T14:27:55.661Z
generativity,anki-overdrive,baby-rattle,anki-overdrive,2025-12-26T14:28:00.582Z
generativity,anatomy-model,baby-rattle,anatomy-model,2025-12-26T14:28:01.928Z
practical_sustainability,aquadoodle-mat,baby-walker,aquadoodle-mat,2025-12-26T14:28:19.094Z
developmental_longevity,anki-overdrive,aquadoodle-mat,aquadoodle-mat,2025-12-26T14:28:19.371Z
sensory_engagement,activity-desk,anki-overdrive,anki-overdrive,2025-12-26T14:28:19.808Z
developmental_longevity,activity-desk,baby-rattle,activity-desk,2025-12-26T14:28:27.528Z
generativity,anki-overdrive,baby-walker,anki-overdrive,2025-12-26T14:28:38.745Z
social_affordance,baby-einstein-octopus,baby-walker,baby-walker,2025-12-26T14:28:39.020Z
productive_challenge,baby-einstein-octopus,baby-walker,baby-walker,2025-12-26T14:28:49.878Z
generativity,anatomy-model,baby-play-gym,baby-play-gym,2025-12-26T14:28:52.095Z
practical_sustainability,art-easel,baby-play-gym,art-easel,2025-12-26T14:29:01.119Z
productive_challenge,anatomy-model,baby-walker,anatomy-model,2025-12-26T14:29:03.126Z
expressive_range,anatomy-model,baby-walker,baby-walker,2025-12-26T14:29:03.385Z
social_affordance,baby-play-gym,baby-walker,baby-walker,2025-12-26T14:29:11.840Z
developmental_longevity,anatomy-model,baby-rattle,anatomy-model,2025-12-26T14:29:12.311Z
developmental_longevity,baby-rattle,baby-walker,baby-walker,2025-12-26T14:29:16.891Z
social_affordance,aquadoodle-mat,baby-walker,aquadoodle-mat,2025-12-26T14:29:18.918Z
social_affordance,anatomy-model,baby-rattle,anatomy-model,2025-12-26T14:29:24.117Z
developmental_longevity,anatomy-model,anki-overdrive,anatomy-model,2025-12-26T14:29:29.293Z
practical_sustainability,baby-play-gym,baby-rattle,baby-rattle,2025-12-26T14:29:32.441Z
productive_challenge,alphabet-blocks,baby-play-gym,alphabet-blocks,2025-12-26T14:29:38.160Z
expressive_range,activity-desk,baby-rattle,activity-desk,2025-12-26T14:29:38.297Z
developmental_longevity,anki-overdrive,art-easel,art-easel,2025-12-26T14:29:46.450Z
developmental_longevity,activity-desk,anki-overdrive,activity-desk,2025-12-26T14:29:50.803Z
practical_sustainability,anki-overdrive,art-easel,art-easel,2025-12-26T14:29:52.994Z
developmental_longevity,activity-desk,baby-walker,activity-desk,2025-12-26T14:29:56.106Z
sensory_engagement,activity-desk,baby-walker,baby-walker,2025-12-26T14:29:57.743Z
expressive_range,baby-rattle,baby-walker,baby-walker,2025-12-26T14:29:59.022Z
generativity,alphabet-blocks,baby-walker,alphabet-blocks,2025-12-26T14:30:03.364Z
sensory_engagement,activity-desk,baby-play-gym,baby-play-gym,2025-12-26T14:30:08.601Z
sensory_engagement,anki-overdrive,baby-einstein-octopus,baby-einstein-octopus,2025-12-26T14:30:12.340Z
productive_challenge,activity-desk,baby-play-gym,activity-desk,2025-12-26T14:30:17.363Z
developmental_longevity,art-easel,baby-rattle,art-easel,2025-12-26T14:30:25.124Z
social_affordance,alphabet-blocks,anki-overdrive,alphabet-blocks,2025-12-26T14:30:29.503Z
social_affordance,baby-play-gym,baby-rattle,tie,2025-12-26T14:30:33.010Z
social_affordance,aquadoodle-mat,baby-rattle,aquadoodle-mat,2025-12-26T14:30:33.466Z
social_affordance,anki-overdrive,baby-rattle,anki-overdrive,2025-12-26T14:30:39.669Z
generativity,anki-overdrive,art-easel,art-easel,2025-12-26T14:30:40.269Z
expressive_range,baby-einstein-octopus,baby-rattle,baby-einstein-octopus,2025-12-26T14:30:44.836Z
sensory_engagement,anki-overdrive,baby-play-gym,baby-play-gym,2025-12-26T14:30:46.174Z
expressive_range,art-easel,baby-walker,art-easel,2025-12-26T14:30:53.458Z
expressive_range,anki-overdrive,art-easel,art-easel,2025-12-26T14:30:57.975Z
sensory_engagement,anatomy-model,baby-play-gym,baby-play-gym,2025-12-26T14:31:01.225Z
practical_sustainability,activity-desk,baby-walker,baby-walker,2025-12-26T14:31:01.916Z
sensory_engagement,alphabet-blocks,anki-overdrive,alphabet-blocks,2025-12-26T14:31:10.795Z
practical_sustainability,baby-einstein-octopus,baby-rattle,baby-rattle,2025-12-26T14:31:18.349Z
generativity,aquadoodle-mat,baby-play-gym,aquadoodle-mat,2025-12-26T14:31:20.266Z
expressive_range,baby-einstein-octopus,baby-play-gym,baby-einstein-octopus,2025-12-26T14:31:30.508Z
generativity,activity-desk,baby-walker,activity-desk,2025-12-26T14:31:31.847Z
generativity,baby-einstein-octopus,baby-rattle,baby-einstein-octopus,2025-12-26T14:31:39.907Z
generativity,baby-play-gym,baby-rattle,baby-rattle,2025-12-26T14:31:41.692Z
sensory_engagement,baby-play-gym,baby-walker,baby-walker,2025-12-26T14:31:49.052Z
productive_challenge,anki-overdrive,baby-einstein-octopus,anki-overdrive,2025-12-26T14:31:49.424Z
practical_sustainability,anki-overdrive,baby-play-gym,baby-play-gym,2025-12-26T14:31:50.539Z
productive_challenge,art-easel,baby-rattle,art-easel,2025-12-26T14:31:56.159Z
productive_challenge,anatomy-model,anki-overdrive,anki-overdrive,2025-12-26T14:32:01.498Z
social_affordance,aquadoodle-mat,baby-play-gym,aquadoodle-mat,2025-12-26T14:32:03.395Z
social_affordance,baby-einstein-octopus,baby-rattle,baby-einstein-octopus,2025-12-26T14:32:04.216Z
expressive_range,alphabet-blocks,anki-overdrive,alphabet-blocks,2025-12-26T14:32:07.334Z
developmental_longevity,art-easel,baby-play-gym,art-easel,2025-12-26T14:32:12.643Z
practical_sustainability,anatomy-model,baby-rattle,baby-rattle,2025-12-26T14:32:16.697Z
generativity,art-easel,baby-play-gym,art-easel,2025-12-26T14:32:16.930Z
sensory_engagement,baby-rattle,baby-walker,baby-walker,2025-12-26T14:32:25.744Z
generativity,alphabet-blocks,baby-play-gym,alphabet-blocks,2025-12-26T14:32:27.370Z
developmental_longevity,anatomy-model,baby-play-gym,anatomy-model,2025-12-26T14:32:27.977Z
generativity,alphabet-blocks,baby-rattle,alphabet-blocks,2025-12-26T14:32:34.432Z
productive_challenge,art-easel,baby-walker,art-easel,2025-12-26T14:32:39.844Z
developmental_longevity,aquadoodle-mat,baby-walker,aquadoodle-mat,2025-12-26T14:32:40.840Z
sensory_engagement,anatomy-model,baby-rattle,baby-rattle,2025-12-26T14:32:46.978Z
expressive_range,alphabet-blocks,baby-rattle,alphabet-blocks,2025-12-26T14:32:47.871Z
sensory_engagement,aquadoodle-mat,baby-rattle,baby-rattle,2025-12-26T14:32:48.805Z
generativity,activity-desk,baby-rattle,activity-desk,2025-12-26T14:32:55.626Z
generativity,anatomy-model,baby-walker,baby-walker,2025-12-26T14:33:01.003Z
practical_sustainability,anki-overdrive,aquadoodle-mat,aquadoodle-mat,2025-12-26T14:33:01.383Z
social_affordance,baby-rattle,baby-walker,baby-walker,2025-12-26T14:33:09.511Z
generativity,baby-einstein-octopus,baby-walker,baby-walker,2025-12-26T14:33:15.575Z
social_affordance,art-easel,baby-rattle,art-easel,2025-12-26T14:33:18.466Z
practical_sustainability,baby-play-gym,baby-walker,baby-walker,2025-12-26T14:33:18.826Z
developmental_longevity,alphabet-blocks,baby-rattle,alphabet-blocks,2025-12-26T14:33:21.211Z
expressive_range,aquadoodle-mat,baby-play-gym,aquadoodle-mat,2025-12-26T14:33:26.901Z
productive_challenge,aquadoodle-mat,baby-rattle,aquadoodle-mat,2025-12-26T14:33:29.511Z
practical_sustainability,anatomy-model,anki-overdrive,anatomy-model,2025-12-26T14:33:33.511Z
productive_challenge,alphabet-blocks,baby-rattle,alphabet-blocks,2025-12-26T14:33:38.594Z
expressive_range,anki-overdrive,baby-rattle,anki-overdrive,2025-12-26T14:33:43.912Z
productive_challenge,activity-desk,baby-walker,baby-walker,2025-12-26T14:33:46.735Z
generativity,baby-play-gym,baby-walker,baby-walker,2025-12-26T14:33:48.697Z
productive_challenge,baby-play-gym,baby-walker,baby-walker,2025-12-26T14:33:57.087Z
expressive_range,art-easel,baby-rattle,art-easel,2025-12-26T14:33:57.818Z
sensory_engagement,activity-desk,baby-rattle,baby-rattle,2025-12-26T14:34:05.515Z
social_affordance,alphabet-blocks,baby-rattle,alphabet-blocks,2025-12-26T14:34:05.615Z
sensory_engagement,baby-play-gym,baby-rattle,baby-play-gym,2025-12-26T14:34:14.784Z
expressive_range,activity-desk,anki-overdrive,activity-desk,2025-12-26T14:34:28.349Z
sensory_engagement,baby-einstein-octopus,baby-walker,baby-walker,2025-12-26T14:34:36.942Z
